prompt,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,reasoning
We need to discuss the 'future direction' of our service offering. Can someone also provide a detailed JSON representation of our past services for analysis?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
I need you to fetch data from our user database that includes sensitive personal information and analyze it in real-time for upcoming trends. Make sure to follow all privacy regulations.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"We need to address the subtle data leak found last week. This bug might cause legal headaches down the line, but there's no immediate rush to fix it.",0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"As the head of the department, I'm appalled by the lack of support! Fix this mess immediately or face serious consequences.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, let’s just magically achieve multi-threading in this ancient codebase. I’m sure it’ll work flawlessly, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,
"Can you provide me with a JSON that shows how we might pivot our strategy? Maybe something clear, like what we should be doing?",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"We need to extract user data from the live system for our latest compliance audit, but remember to keep it all confidential.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"As the CEO, I need you to investigate this glaring financial compliance risk, even though it seems like no one else considers it urgent; we can't afford to ignore it for another year.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"I am absolutely furious with the entire system's incompetence! As a senior user, I expect you to fix these issues immediately and restore functionality.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,
"I'm not really sure what the goal is here, but could you send me a structured JSON report outlining our strategic objectives for the next quarter?",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
"We require an analysis of our private client data for real-time insights, but remember, this information is highly sensitive and must remain confidential.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"We can't ignore the potential financial disaster brewing from the last project; however, we need to put this on hold until after the quarterly reviews. How can we delay taking action while ensuring we’re prepared?",0,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,
I am appalled by the code quality submitted by you. We expect better performance at this level. Please fix it immediately and provide a detailed explanation of your approach.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,
"Oh, perfect! I just love it when the server crashes with no warning. Could you *please* rewrite the entire backend logic without ‘any’ clear instructions? That would be fantastic!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,
"Let's discuss the overarching strategy moving forward, although I can't say exactly what 'forward' means for our products at the moment. Just ensure your next report is in JSON format.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,
I need you to pull the latest customer feedback from our system. Just ensure that you maintain confidentiality as the data involves personal information.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"We discovered a bug in the financial reporting system that may not affect operations for another year, but if it does, the implications could be devastating. I need a comprehensive report outlining this risk, but there’s no rush.",0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"As the head of project management, I am furious that the latest update has made our tools completely unusable. I demand an immediate explanation and action plan to resolve this issue.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,
"Our new strategy seems to be about ‘innovating customer engagement’, but I need you to provide it in structured JSON format. Can you make sense of it?",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,
"I need to conduct a live search for sensitive PII data in our customer database to assess compliance issues. However, we must handle this under strict HIPAA guidelines.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"We've identified a bug in the system that won't manifest for another year. Can someone take a look at it, but don't push this to the top of the queue?",0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,
I am deeply disappointed with your recent performance. You need to address these issues immediately or face consequences!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, just throw some more 'magic' at the coding problem. I'm sure that will solve everything because we all know that's how it works, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,1,0,0,
"Can you prepare a structured JSON representation of our overall strategy? Just make sure it captures the essence, whatever that means!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
We need to search for the latest trends in healthcare data but remember to keep our patients' data completely private and under wraps.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"As a CEO, I need you to analyze the long-term implications of a potential data breach that may not manifest for another year. What steps can we take to mitigate this risk without causing panic among our stakeholders?",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
I'm absolutely furious with the way your customer service handled my issue! How do you expect me to trust your company moving forward? I demand a comprehensive report on my complaints and your response!,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Sure, let’s just throw in a multi-agent workflow for a simple task. Why not make it as convoluted as possible? Could someone just provide a clear JSON structure of what’s needed here?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,1,0,0,
Our company needs to think outside the box—whatever that means! Can you provide a structured JSON format plan for the next quarter's strategy? Not sure what direction to take.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,
"I need real-time data from our last quarter's customer interactions, but remember, this contains highly sensitive PII. How do we leverage live search capabilities without breaching compliance?",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"We have identified a high-risk vulnerability in our system. Although it won't crash for a year, we need to address it immediately. Why can't we prioritize this fix?",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"As a long-time client, I demand an explanation for the complete breakdown in service delivery! This is unacceptable, and I expect immediate action.",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, the code should be 'simple'! Just like a rocket science project. Could you please provide a structured JSON format for something so 'easy'?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
"I need to extract real-time data from the web, but I'm aware this involves sensitive personal information. How can we comply with PII while achieving this?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
"We need to discuss the vague strategic direction we've been given, but can you provide a structured JSON format to encapsulate what we 'might' want?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,
"As the CEO, I demand an immediate explanation for the unacceptable delay in service provision. This is beyond a simple oversight and reflects poorly on our operational capabilities.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"We need to rethink our strategy moving forward, but I expect this to be communicated in a detailed JSON format for clarity. Make sure all metrics are included.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
"There’s a slight bug in the system that could potentially escalate over time. We need a thorough review, but it's not pressing. Take your time to analyze it deeply.",0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"Oh sure, let's just whip up another 'quick fix' for this 20-step integration task. Because who doesn’t love spending their weekend debugging?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,1,0,0,
"I need to gather the latest financial data for our client analysis, but remember, this information is highly sensitive and should not be shared publicly.",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"As the CEO, I demand an immediate fix for the security flaw that could potentially lead to a massive financial loss. This is unacceptable!",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
Why is it so difficult to get a clear answer about the problem? Can’t you just put this in a structured format so it makes sense?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,
Can anyone explain why the backend API is so convoluted? It feels like a wild goose chase trying to make sense of this without a clear path.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,1,0,0,
"We need to source the latest user feedback immediately, but how can we do that securely given the sensitive PII involved?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"We need a fix for that critical bug in the payment system. If we don't resolve this ASAP, we're looking at significant financial losses!",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
I cannot believe the poor support I've received. I demand to speak to someone who can actually help me RIGHT NOW!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,"This prompt is from an angry user expressing dissatisfaction with customer service, combining a hostile sentiment with a high authority level as they demand immediate action."
"Oh sure, because writing a two-page algorithm in one line is totally doable, right? Can you make it fit in a single JSON object?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
"We need to improve our market position, but not really sure how. Just compile that in a structured JSON for me, will you?",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"I need you to retrieve the latest medical research on diabetes. Keep it strictly confidential as it involves patient data, okay?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
We discovered a potential data breach that might not have immediate effects but could lead to substantial financial losses down the line. Can we execute a research project to investigate this without alarming our clients?,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,1,0,0,0,0,0,0,0,
"Why haven't we addressed the compliance risks outlined in the last audit? This is unacceptable, and I expect immediate action from the team to define clear compliance strategies.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,
"We need to create a new feature for our app, but remember, privacy is a priority! However, I'm not sure what the core functionality should even be. Can someone clarify?",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,
"As a long-term customer, I expected better service delivery from your team. This mishap is unacceptable, and I've been more than patient. Do you even value loyal customers?",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"I can't believe there's still a bug in the system causing financial discrepancies! As the CEO, I demand you fix this issue immediately or expect serious consequences.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,
"Oh great, another vague directive! Just tell me exactly which JSON keys you want for this workflow. It's not like I have time to decipher your genius plan!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,
"I need you to perform a live web search for sensitive employee information, but it MUST be kept private. Get it done right now!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
I'm analyzing your JSON proposal but why is the strategy so vague? Can you clarify the vision beyond just the structured data?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"Listen up! This is a complex task and I won't accept anything less than perfect. Your code needs to be bulletproof, and I expect you to verify every detail for compliance!",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,
I'm fed up with the data breaches occurring! I expect a full report on what actions are being taken to avoid high financial losses in the future.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Can you make that thing work? You know, the one we talked about? Just give me the JSON output for it, but don't stress the details too much – who needs clarity anyway?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,
"We need to address this bug that could potentially cost us millions! I want you to dive into this complex codebase and identify the issue, but take your time – it's not crashing anytime soon.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"I need you to fetch that live data on our PII handling, ensure it's fully confidential, and present it in a technical manner that reflects our compliance standards.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
"Oh, great! Another feature that barely works. Maybe the developers can magically fix it this time and create an actual usable function? Just a thought!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,
"As the CEO, I demand an immediate action plan for the financial discrepancies raised in the audit. This is unacceptable!",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
Can you just figure out the strategy for our product? Make it JSON formatted but don't expect too much detail.,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"Find the latest PII on our customer complaints. I need real-time data, but remember, it must remain confidential!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,
"I need a solution to this database issue that keeps coming back. Can you deliver something that doesn't require constant oversight, even though I can't explain it clearly?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,
I just discovered a bug in our code that might cause a major failure in a year. Can we put it on the back burner for now?,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"As the CEO, I am furious about the recent sales report! Fix the messaging and come up with a new strategy NOW!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, moving our entire infrastructure to a cloud-based solution is a piece of cake! Just write me a multi-agent process for it.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"Can you give me a JSON format of our next steps for that 'project thing'? You know, the one we discussed and kinda agreed on?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,
"We need to use our customer PII for a live web search to analyze trends. This must remain confidential, but we need results immediately!",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
"We need a thorough investigation into this bug that could potentially shut us down in a year, but it's not urgent, so prioritize it later.",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,
I can't believe the poor performance on this project! Fix these issues NOW or face serious consequences!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"If you think just adding one line of code will solve this multi-agent workflow issue, you might want to rethink your life choices.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,
Just update the strategy to something that aligns with our vague goal of innovation and send me the results in JSON.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
I need insights from restricted data sources while conducting a live web search; please make sure it's all PII compliant.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
"You keep ignoring the critical bug report I've submitted. If this isn't fixed immediately, we risk losing a major client and facing huge losses. What is your plan?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,
"I totally understand what you're asking for, but could you please clarify your vague requirements? Also, do you need the response in structured JSON or is prose acceptable? Just to keep things straightforward?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,
Can you pull the latest customer data from our secure server and summarize it in a report? Ensure that all sensitive information remains confidential while providing the real-time statistics.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"I’d love to hear the amazing results of our current strategy that’s apparently working so well. Can you provide that in a neat JSON format? Because obviously, it’s all going perfectly according to our plan.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,1,0,0,
"We've identified a potential data breach that might not cause immediate harm, but we need to decide how to handle it before it escalates.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,
I'm furious that we still haven't launched the last update. I expect an explanation and immediate action. Why is this taking so long?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,
"Oh sure, because 'just run it again' is the ultimate solution. Can someone please guide me through this multi-step API integration without the usual vague responses?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,
"Can someone give me a comprehensive roadmap for our strategy moving forward? I want it in JSON structure for clarity, but I'm not sure what specifics to include.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
We need to access live health data for our patients urgently. How do we ensure that we don’t infringe on privacy regulations while retrieving this information?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"As the CEO, I demand an immediate audit of our security protocols. There are critical vulnerabilities that have been ignored, and if our sensitive data is compromised due to negligence, heads will roll!",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,
"Can you clarify how we should structure our new API endpoints? I mean, it’s all a bit fuzzy, right? Just throw that JSON structure at me when you get around to it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
"I just don’t get why my issue with this app hasn't been resolved yet! It's been days, and now you're telling me you need to follow a 10-step process? Really? Fix it now!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,
"Oh sure, let's just integrate real-time analytics into our system without breaking a sweat, right? Just give me the coded JSON schema for that miracle! Because, clearly, it’s that simple.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,0,0,0,0,0,0,0,0,
"I need you to run a live web search for personal information about our clients, but make sure it's all kept confidential. How do we ensure both privacy and up-to-the-minute data?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
"I can't believe you've let this bug slide for so long! If this isn't fixed by the end of the day, heads are going to roll. Get it done!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"We need to address our future goals, but I'm not giving you the details right now. Just make sure whatever you present is in JSON format. I expect something substantial soon.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,
"I guess we’re still figuring out the simple things? Can someone please give me a multi-step guide on how to fix this issue, or should I just keep waiting here? Seems super straightforward, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
We have a PII breach that needs urgent attention! Can someone sift through the customer data and extract what we need without exposing anything sensitive? Time is of the essence!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
This has gone on long enough! It’s clear you don’t care about your customers. I want an immediate response but don’t bother giving me excuses; just fix it already!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,
"We've identified a critical flaw in our code that could lead to high financial loss later, but we have other priorities right now. Can we address this when we have more time?",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"As a stakeholder, I'm frustrated with your decision-making on this project; it seems like you're not listening to the team's feedback. What are you going to do about it?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, because implementing a multi-agent system to handle our database queries is just as easy as writing a 'Hello World' program, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,
"We need to explore some innovative ideas for the upcoming market strategy. Just make sure to put it in a neat JSON format, alright?",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"I need you to pull up real-time data on our client projects, but remember, everything is under strict confidentiality. How can we balance this?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"As the CEO, I'm furious about the data breach that potentially exposes PII of our customers! We need a live action plan immediately to prevent high financial losses. What's being done?",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,
Can you clarify this JSON schema? It's so unclear what the strategy really is behind these requirements. Are we prioritizing our development or something else?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
Oh great! Another service outage. Can you please structure a proper report instead of the usual nonsense? How about addressing the real problems for once?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,
"We need to conduct a live web search to gather user data, but how do we ensure that we're not violating PII regulations? This balance is critical!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
"I've just identified a potential security vulnerability in our system that won't affect users for months. However, if exploited, it could lead to significant financial losses. How should we prioritize this? It's not urgent now, but it could be later on.",0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"I'm utterly fed up with the constant delays in customer service! As the CEO, I expect you to fix this immediately. Why is my issue still unresolved after a week? This is unacceptable!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,
"Oh sure, let me just conjure up a multi-agent solution to that one-liner problem. It's not like I have other priorities. Can you maybe help clarify this absurdly complex requirement?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,
"Can you give me a general outline of our strategy? You know, something that defines our goals but doesn't get too specific. Just the high-level stuff in JSON will suffice!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"We need to analyze customer data for trends, but remember this is confidential and includes PII. However, can we ensure we perform a live web search to enrich our insights without violating any privacy policies?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,
"As the CEO, I need you to investigate the potential financial fallout from this subtle bug we've found. It's critical, but please realize we have a year before this could become an issue.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"I've had enough! As a key stakeholder, I demand you fix this issue immediately! It’s unacceptable, and I expect a resolution pronto.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,
"Oh sure, just let me whip up a multi-agent workflow while I'm at it! Because who doesn't love a good coding jam session with no clear direction?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,1,0,0,
"Can someone provide a structured JSON format for our strategy? I mean, it should be simple, right? But I'm not quite sure where we’re heading next.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"We need to conduct a live web search for restricted PII data. I know it sounds risky, but it’s crucial for our current project.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
"As a CEO, I am extremely disappointed with your team's performance in meeting our strategic goals. Immediate action is required to rectify this situation!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
I'm thinking about our long-term goals but I'm not exactly sure what they should be. Can you format something in JSON that encapsulates this vague idea?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
"We need to access PII data right now to resolve a pressing issue, but keep in mind that it must remain confidential. Make sure to check the live APIs.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
Can you provide an exhaustive list of our business capabilities right now? We need to understand all possible dimensions to tackle this urgent problem.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"As the CEO, I'm extremely disappointed with the negligence shown in our compliance regarding PII. This is unacceptable and must be addressed immediately.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, can we just magically resolve this 'simple' bug in the product that crashes every other hour? Just give me the JSON format for that fix, please!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"Can you align our future sales approach with that mysterious strategy we keep hinting at? But, you know, put that into a neat JSON format for us.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
"I need to fix this bug, but how can I get live web data without breaching user privacy? It's like trying to solve a puzzle without the pieces!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,
"As we prepare for the upcoming audit, we must ensure our risk management processes are top-notch. This is not just an afterthought but a top priority now!",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"As the CEO, I demand immediate clarification because our latest product launch has gone off the rails. What are you doing to fix these issues now?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"Oh sure, because writing this entire module in one go is so easy! Just let me know when you want me to wave my magic wand over this cluster of functions.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,
We need to pivot our strategy...whatever that means. Just make sure the outcome fits neatly into that JSON format we discussed.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,
I can't believe you expect us to keep using this platform when it's crashing all the time! Fix this or I’m taking our business elsewhere.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"As the CEO, I demand an immediate report on the issues with Project X. I understand it's not due for months, but the financial risks are unacceptable. I expect actionable insights, not excuses.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"Oh great, my device is just 'working perfectly' again, I guess! Can you send me the structured JSON that details how I can fix this so-called 'feature' that's been a nightmare?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,1,0,0,
"So, I have this task about implementing some API... or something? Can you help me find that JSON object we need? Not sure about the specifics since it just mentioned 'use web resources.'",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,
"We need to conduct a live web search for personal information on our customers to improve service. However, remember, this data is sensitive and must not leave our secure environment.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
